,0
-41865.7380395,28205.2191886
-45081.8335828,30587.7378909
-48447.3080359,32852.226652
-51441.9240875,34781.1149855
-53905.3153513,36385.8979128
-55664.1444975,37563.945586
-56497.2793996,38245.4857535
-56750.572087,38557.3422777
-55869.3024699,38184.7358481
-54170.5378392,37439.0054951
-52371.1964523,36904.4909035
-50312.399126,35955.4758186
-48020.6574757,34780.4989024
-45764.9169984,33489.9635079
-43641.840419,32122.0795577
-41686.6087787,30808.9308309
-40039.4673775,29816.9702266
-38811.3482986,29261.423048
-38008.0510591,28881.3014566
-37618.4106683,28687.3707139
-36963.481643,28144.8891867
-36212.5364611,27532.6995607
-35875.9404004,27222.977619
-35575.6391904,26953.194844
-35201.6425865,26517.9007098
-34908.1749031,26192.2633614
-34554.580261,26079.2509836
-34412.8209495,26204.1106492
-34532.9436295,26341.8692788
-34221.3301944,26840.1707889
-34358.0242245,27408.6763776
-34918.3298204,28113.5958779
-36044.8315049,28899.2427617
-37567.7621528,29873.1960742
-39405.3528409,31316.9210728
-41489.5437569,32961.2037011
-43545.607983,34688.5601609
-45458.1650421,36357.0551342
-47164.9204323,37809.8107341
-48614.2981831,39131.5567443
-49485.7641991,39923.4027162
-49542.408286,40015.5873644
-48591.409251,39432.9261136
-47065.6819635,38494.4620571
-45388.1997319,37348.3296976
-43472.6929511,36047.2031664
-41497.1056392,34662.8841597
-39609.6853965,33455.3206177
-37680.5210168,32406.9892096
-35581.8799245,31553.2314896
-33728.6292468,30671.5217319
-32114.8342631,29904.5931443
-30617.1583136,29118.2907061
-29463.2621838,28439.6971844
-28972.7151488,28263.7305543
-29104.8817709,28584.8299979
-30008.8580443,29418.0004482
-31343.9112285,30426.1537686
-32722.2298615,31185.0216675
-33983.3478023,31573.4537963
-35130.0175259,31717.0377995
-36139.0748695,31631.817286
-36944.9240222,31408.64547
-37475.6524261,31231.0701711
-38096.5452326,31304.3380751
-39011.8556297,31488.1346086
-40181.5779974,31615.1035035
-41806.1155335,31914.3541532
-43604.2256105,33145.647327
-45651.1768895,34620.9325487
-48087.5074333,35995.397714
-50372.1950658,37093.0020088
-52299.6391129,37861.0806586
-53930.5706335,38351.2925906
-55555.6996643,38957.6919007
-57068.2556002,39502.5837896
-58188.8236998,39878.32589
-59154.0319788,40274.1451682
-60262.5104105,40876.8206938
-61265.0465233,41441.0003636
-61410.8352184,41445.6380711
-60883.8506785,40949.5190531
-60214.596003,40306.6122178
-58620.3886166,39900.4637303
-56396.2806851,38802.7855404
-53985.8400631,37376.3133584
-51858.6536532,35882.5552145
-49947.0751785,34425.1817083
-48492.1117575,33008.0370597
-47600.1706376,32907.4605527
-47810.8371599,32965.6830261
-48153.0842451,32872.2331541
-49259.4197082,33124.5729868
-50868.7801722,33532.6012662
-52723.8078157,34121.9258526
-54803.6212353,35382.2071231
-57586.7365541,37501.4478759
-60284.0613816,39949.4519211
-62388.4956839,41471.3068921
-63867.5871477,42147.8695026
-64439.1208659,42198.883582
-64011.7003662,41997.2050509
-63013.4640018,41767.3817268
-61762.0865404,41324.0426144
-60416.0083603,40707.2336787
-58934.8439169,40069.8860559
-57249.08822,39371.5009684
-55504.5553146,38698.2117779
-53926.8762238,38037.3044962
-52503.8207199,37565.688679
-51313.2730621,37273.7876009
-50303.8708709,37007.8439371
-49571.2916501,36788.3645123
-49170.4263944,36758.4732841
-48923.3365703,37081.0273461
-48325.9397215,37272.4946261
-47418.102809,37291.814354
-46303.3089815,37225.7775026
-45282.4463859,37045.6358915
-43900.6986042,37177.6111594
-42749.0810866,37253.3246266
-41702.9042337,37397.1509866
-40226.5846733,37276.4308626
-38277.9710309,37078.0526312
-35799.7804391,36869.2766876
-33105.0716153,36612.5991524
-30397.1979084,36344.224215
-27928.3549874,35652.8207332
-25587.9086388,34757.7486047
-23287.1189856,33994.5942426
-21285.9527257,33234.496735
-19768.2335331,32127.4707306
-18638.874898,30811.6851292
-17730.5942077,29468.4221368
-16846.333494,28173.8867427
-16049.7050563,26949.9283509
-15375.137906,25814.2385597
-14758.5063116,24725.0168983
-14433.2579411,24093.0881845
-14148.1899292,23485.5722301
-13905.8534038,22759.5607385
-13856.7792824,22030.7553833
-13792.2899003,21339.6695797
-13434.8576007,20884.6833247
-12421.4647024,20992.2705465
-11259.8228226,21270.3642668
-10306.6062762,21049.7382516
-8710.71940789,20924.6682052
-6490.96731388,21204.3022659
-4288.57476977,21666.1943689
-2192.15333019,22046.0354842
-165.103754195,22391.947929
1717.75568541,22969.2188751
3022.01291543,23079.5468416
3658.36039084,22752.2509036
4067.32928499,22198.7518716
4240.91542755,21450.22462
4198.68287511,20567.2774447
3277.17450986,21526.608366
2179.10076872,21966.3098302
900.691281412,22212.4589552
72.5359029567,22773.9972296
-1346.14660288,23434.5606544
-2560.81475012,23621.8367679
-3333.30713766,23325.8375119
-3647.41998497,22629.9650109
-3584.50354318,21791.1652305
-3335.61023578,20884.8263511
-2783.17129341,20087.9316591
-1936.80033263,19496.9305729
-861.985783124,19094.0471827
416.626297163,18855.9309719
1841.22473338,18708.4417121
3242.50740225,18600.7013788
4276.12966651,18436.9851823
4696.34322475,18123.1616318
4680.68814428,17709.6071161
4412.6798385,17269.1531965
3800.49849042,16963.6559039
2840.45545666,16848.1426383
1450.13909106,17009.7089823
-329.82626315,17597.117218
-2579.09945894,18717.6330294
-5033.98015365,20011.2852204
-7370.83147299,21080.128679
-9394.96839981,21823.766741
-11070.3561757,22506.532027
-12568.6139502,23315.8609644
-13839.8417911,23956.9708281
-14810.2625236,24264.147751
-15578.8735566,24382.1452056
-16681.9843578,24993.3800673
-18501.961891,26427.3859224
-20908.8886587,28585.5876575
-23783.3403961,31531.6872802
-26945.6578005,35062.0692032
-30101.599811,38957.0434476
-32300.7663766,43213.8328769
-34535.7509809,46910.0686971
-36913.1486929,49496.5189102
-39086.9889988,50280.1187212
-40773.503082,49702.8600456
-42059.3250261,48625.9319068
-43015.3035463,47564.3310001
-43242.5586285,46470.9953003
